income,loan_amount,credit_score,employment_type,default
58000,15000,690,Private,0
42000,12000,630,Self-Employed,1
98000,25000,720,Government,0
35000,9000,610,Private,1
76000,20000,700,Private,0
45000,11000,640,Self-Employed,0
52000,13000,675,Private,1
88000,22000,710,Government,0
31000,8000,600,Private,1
67000,18000,695,Private,0
49000,14000,660,Self-Employed,1
83000,24000,735,Government,0
36000,10000,620,Private,1
72000,19000,705,Private,0
56000,16000,680,Self-Employed,0
29500,8500,590,Private,1
91000,26000,750,Government,0
64000,17000,690,Private,0
40000,11000,625,Self-Employed,1
78000,21000,715,Government,0
